pub_date	category	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2024-09-02	conferences	A Qualitative Approach to Combined Sewer Overflow Modelling on the WATERVERSE Project	The 3rd International Joint Conference on Water Distribution Systems Analysis & Computing and Control for the Water Industry (WDSA/CCWI 2024)	"In the UK, combined sewer overflows (CSOs) are currently a hot topic, with the UK’s water regulator (OFWAT) mandating greater visibility and reporting on such incidents. However, there is often little existing support for this given a historic lack of CSO-related data collection. This paper looks to build a model of water quality to capture different key CSO versus agricultural runoff events and to develop a digital twin for Totnes and swimming areas of the river Dart."	Lewis et al (2024)	WATERVERSE-CCWI-2024	https://www.mdpi.com/2673-4591/69/1/27	
2024-09-02	conferences	The LOTUS International Multifunctional Digital Twin	The 3rd International Joint Conference on Water Distribution Systems Analysis & Computing and Control for the Water Industry (WDSA/CCWI 2024)	"The LOTUS project was concerned with the development of low-cost innovative technology for water quality and resource management in urban and rural water systems in India. This paper is concerned with the development of a digital twin for the public water distribution network of Guwahati that will enable researchers from the Guwahati Institute of Technology to develop and test leak detection algorithms."	Lewis et al (2024)	LOTUS-CCWI-2024	https://www.mdpi.com/2673-4591/69/1/26	
2024-09-02	conferences	Empowering Water Engineers to Develop XR Learning Applications with the WATERLINE Project	The 3rd International Joint Conference on Water Distribution Systems Analysis & Computing and Control for the Water Industry (WDSA/CCWI 2024)	"The over-arching goal of the WATERLINE project is the creation of a European Digital Water Higher Education Institution (HEI) Alliance, with a core part of this goal being the development and delivery of meaningful water engineering education through extended reality technology, allowing students to engage with virtualised water engineering models, such as flume tanks and water distribution networks in a manner that will promote engaged deep learning. To realise this goal, researchers need to engage with pedagogic, creative, and technical considerations to ensure that water engineering students are presented with engaging applications that provide the “right” knowledge and provide experiences where deep and memorable learning can take place."	Lewis et al (2024)	WATERLINE-CCWI-2024	https://www.mdpi.com/2673-4591/69/1/21	https://www.youtube.com/watch?v=9ghVGT0uM64
2023-12-13	manuscripts	Water distribution modelling in the cloud: Web-GIS implementation	Vodoprivreda	"Hydroinformatics tools are commonly used for modelling and management of water systems. Those activities involve using spatially and temporally varied information collected from various sources and often available in different data  formats. Creating these tools is often the domain of specialist software developers and their effective use by water practitioners is associated with a steep learning curve. Software or applications such as open-source Geographic Information Systems (e.g., QGIS) and water distribution system modelling software (e.g., EPANET) have been developed to support the analyses and decision making.  However, these solutions have some critical weaknesses: 1) it can take users considerable time to become proficient in using a given application, 2) applications generally assume a level of domain-specific knowledge, 3) applications may require customisation through plug-ins to provide suitable information and 4) applications are often tied to  specific hardware / operating system configurations. To address these issues, the EU-funded aqua3s research project had a goal of developing a cloud-based platform integrating QGIS and EPANET visualisation and modelling capabilities, using the cloud/web to deliver functionality.  This hydroinformatics approach resulted in methods capable of integrating and visualising information to support water management, specifically developing a web-based EPANET simulation and visualisation for large water networks (c30,000 network nodes and links). The resulting application demonstrates how data can be processed and  balanced between client and server to minimise client loading and maximise responsiveness. The process of creating the application and the tools used in this project are also described in detail to allow reproducibility of the research work."	Lewis G, Snider B, Vamvakeridou-Lyroudia L, Chen A, Djordjevic S, Savic D (2023)	VODOPRIVREDA-2023	https://www.vodoprivreda.net/wp-content/uploads/2024/01/1-Dragan-Savic-i-saradnici-R.pdf	
2023-01-01	conferences	A flexible, leak crew focused localization model using a maximum coverage search area algorithm	14th International Conference on Hydroinformatics	Buried watermains are deteriorating and pipe failure is increasing in many cities. In response, advanced leak location models have been developed to help identify where a leak is occurring – which allows utilities to react quickly to pipe bursts and reduce the impact of the leak. This paper develops a new leak location model that is designed to identify optimal search areas for leak crews using a random forest classification model and the maximum coverage location problem algorithm. The model, when compared with other machine learning and clustering localization predictions, reduces the search space by over 35%, allowing utilities to confirm leak location and mitigate its impact more efficiently. The new model is also highly customizable, able to adjust the number of search areas and search size quickly and easily to meet leak crews' requirements.	Snider B, Lewis G, Chen A, Vamvakeridou L, Savić D	CREW-HIC-2022	https://iopscience.iop.org/article/10.1088/1755-1315/1136/1/012042	
2023-01-01	conferences	Developing water monitoring solutions with FIWARE defining, creating, populating, and extending digital twins	14th International Conference on Hydroinformatics	"The water industry is often and unfairly criticised for being relatively slow to adopt IT as part of its operating processes. To address this, the FIWARE and Fiware4Water projects were tasked with developing open-source data definition, management, and processing, and applying it to the water sector. In this work, we are reviewing our experiences with developing FIWARE-based solutions for the aqua3s[1] and Fiware4Water[2] projects across the whole project lifecycle, from our initial of installing and learning to work with FIWARE context brokers[3], through building and maintaining synthetic digital twins for load and edge-case testing development and debugging and finally looking at longer-term data management and archiving. Through our work on these projects, we have started to develop a wealth of best-practice, strategic choices, and approaches to be avoided for successful and long-term context broker usage."	Lewis G, Snider B, Vamvakeridou-Lyroudia L, Chen AS, Djordjević S, Savić DA	FIWARE-HIC-2022	https://iopscience.iop.org/article/10.1088/1755-1315/1136/1/012003	
2023-01-01	conferences	Web-based GIS for simulation, and visualisation: EPANET and data-rich shapefiles	14th International Conference on Hydroinformatics	"The management of water resources often involves with spatially and temporally varied information collected from various providers with different data formats. Although certain software or applications such as QGIS[1] and EPANET[2] have been developed to support the analyses and decision making, these solutions do have some critical weaknesses: 1) it can take users considerable time to become proficient in using a given application, 2) applications generally assume a level of domain-specific knowledge, 3) applications may require customisation through plug-ins to provide suitable information and 4) applications are often tied to specific hardware / operating system configurations. To address these issues, the aqua3s and Fiware4Water research programmes were developed as 'cloud first' projects, using the cloud/web to deliver functionality. In this work, we developed approaches for integrating and visualising information to support water management, specifically developing a web-based EPANET simulation and visualisation for large water networks (c30,000 EPANET nodes and links), and a web-based visualisation of regional flood data shapefiles for Trieste and surrounding regions. In both cases, data was processed and balanced between client and server to minimise client loading and maximise responsiveness."	Lewis G, Snider B, Vamvakeridou-Lyroudia L, Chen AS, Djordjević S, Savić DA	GIS-HIC-2022	https://iopscience.iop.org/article/10.1088/1755-1315/1136/1/012007	
2020-01-09	conferences	Improving Technical Communication with a Cue Awareness Intervention using Poster Presentations	4th Conference on Computing Education Practice	"It is critical that graduates be able to articulate their designs and solutions, a capability typically assessed at interview. However, some computing graduates struggle to do so, both in writing and in face-to-face contexts. Developing competence typically requires scaffolding across the curriculum. To this end, assessed poster presentations were introduced into the undergraduate Computing curriculum at Falmouth University in 2015. Each presentation followed the conclusion of each stage's practical programming project. However, the first cohort did not perform as expected. This paper describes action research conducted across the following three academic years through to 2018-19. Analyses show that although students do improve over time (d = 1.41), progress is slow. An intervention targeting cue awareness, use of technical notation, and parsimony had a positive impact (d = 0.73). However, sustaining engagement was critical to its success. This shows that instruction on cue awareness, formative feedback on notation and parsimony, as well as repetition will develop students' technical communication skills. As such, conducting poster presentations at the conclusion of software development projects is recommended but subject to the need to sustain engagement."	Parker A, Lewis G, Scott MJ	POSTER-CEP-2019	https://dl.acm.org/doi/10.1145/3372356.3372361	
2019-12-18	conferences	Toward a Cloud Computing Learning Community	Innovation and Technology in Computer Science Education	"Cloud computing continues to be an important technology in higher education. This domain is a rapidly evolving space, and continues to gain momentum as a primary infrastructure topology for technological advances across emergent industries. The on-the-cloud paradigm provides numerous affordances and new methods of working in industry, and also for end users within recent fields of study, such as machine learning and artificial intelligence. As we move into the Industry 4.0 era with technology pillars such as the internet of things and cybersecurity, the importance of skillsets for cloud-based services will be an essential attribute for the majority of technology-related professions. Many higher education institutions have focused on offering training opportunities and programs for cloud computing, however, a lack of high-quality, contextualized to industry, curricula materials continues to be a challenge for educators. The purpose of this paper is to report on analyses conducted to categorize cloud computing courses currently taught in the higher education sector and to determine the possibility of moving towards the goal of a model curriculum. Additionally, the paper aims to provide guidance to educators about cloud computing skill-sets sought in the job market, and to report on a community platform designed to host cloud learning resources."	Foster D, White L, Erdil DC, Adams J, Argüelles A, Hainey B, Hyman H, Lewis G, Nazir S, Nguyen V, Sakr M, Stott L	CCLC-ETSE-2019	https://dl.acm.org/doi/10.1145/3344429.3372506	
2019-01-09	conferences	Nurturing Collaboration in an Undergraduate Computing Course with Robot-themed Team Training and Team Building	Proceedings of the 3rd Conference on Computing Education Practice	"Group projects are a common feature of undergraduate degree programmes in computing. Early and sustained collaboration helps students to strive beyond introductory programming towards professional software development. However, during their first year of study, students can find teamwork challenging. To equip learners with the foundational knowledge, skills, and experience that they need to collaborate effectively so early in their studies, a 3-day Robot Olympics using Lego Mindstorms EV3 robots can be deployed. The exercise draws upon Salas' big-five model of teamwork, making first-year students aware of coordinating mechanisms that aid in clarifying expectations and managing conflicts. These then act as lenses for reflection and feedback. Comparing a baseline cohort in 2015-16 to a cohort in 2016-17, after the introduction of the Robot Olympics, reveals a statistically significant reduction in team discord in an assessed collaborative programming project (d = 0.76). This suggests that the Robot Olympics made a positive contribution to the design of the first computing module. Notably, helping students to enact and reflect upon their group work and related employability skills."	Scott MJ, Parker A, McDonald B, Lewis G, Powley EJ (2019)	COLLAB-CCEP-2019	https://dl.acm.org/doi/10.1145/3294016.3294019	
